AC,AF,AR,AS,AY,A_Goal_Dif,A_Shots_Faced,A_Shots_Total,Average_away_points,Average_home_points,Away_points,Away_points_elo,FTAG,FTHG,FTR,HC,HF,HR,HS,HY,H_Goal_Dif,H_Shots_Faced,H_Shots_Total,Home_points,Home_points_elo,Season,away_streak_away_team,away_streak_home_team,home_streak_away_team,home_streak_home_team,FTR_H_score,FTR_A_score,FTR_D_score
4,12,1,13,1,-1,3.875,6.375,1.75,0.75,7,1034.4133214033136,0,0,D,2,13,0,10,2,-2,2.8583333333333334,4.291666666666667,3,927.7076904033414,2019-2020,0.5555555555555556,0.0,0.3333333333333333,0.3333333333333333,0.38250172138214111,0.3674207329750061,0.25007754564285278
2,12,0,9,5,-8,2.8,5.0,0.0,1.5,0,957.9052839815197,3,1,A,4,15,0,16,2,1,4.091666666666667,4.458333333333333,6,1041.1158127932765,2018-2019,0.0,0.3333333333333333,0.0,0.7777777777777778,0.59755593538284302,0.21017511188983917,0.19226895272731781
3,11,0,14,2,-21,0.40259617205786136,0.4934621940830077,0.9714285714285714,0.9714285714285714,34,975.5506927727104,1,3,H,9,11,0,10,0,-15,0.2933595923044678,0.560945322960841,34,977.3003127949369,2019-2020,0.1111111111111111,0.1111111111111111,0.6222222222222222,0.5111111111111111,0.42333665490150452,0.26033759117126465,0.31632572412490845
5,20,0,15,5,0,16.5,18.0,1.0,1.0,1,1006.3437857254991,1,2,H,2,8,0,13,0,0,9.5,6.0,1,1031.2717059004042,2018-2019,0.0,0.3333333333333333,0.3333333333333333,0.0,0.45052051544189453,0.33224239945411682,0.21723705530166626
8,11,0,26,0,58,0.7092814252229817,0.2434127332503204,2.0833333333333335,0.9444444444444444,75,1187.5499354135993,4,0,A,0,14,0,2,2,-23,0.06493503167723949,0.40259617205786136,34,971.8733850355854,2019-2020,0.4,0.0,1.0,0.6222222222222222,0.1153569221496582,0.64513260126113892,0.23951041698455811
3,9,0,8,1,3,0.6107898954382502,1.1618484315737538,1.4285714285714286,1.2857142857142858,20,1085.9040742317968,1,2,H,4,9,0,12,0,4,0.8809085304561081,1.2136279568416224,18,1072.3744122251032,2019-2020,0.1111111111111111,0.2222222222222222,0.7777777777777778,0.6444444444444445,0.49641597270965576,0.25915378332138062,0.24443021416664124
2,11,0,6,2,-17,0.299093252013235,0.28095829227793556,0.75,2.15,15,958.3453532647084,0,0,D,7,8,0,17,1,22,0.8394710534197168,0.6288921218140537,43,1156.0664120431438,2018-2019,0.06666666666666667,0.4,0.4,0.7555555555555555,0.80344134569168091,0.059996102005243301,0.13656245172023773
2,15,0,3,3,-3,0.7678571428571429,2.375,0.6666666666666666,0.3333333333333333,4,994.9218301267263,2,1,A,10,11,0,19,1,-11,2.8170634920634923,0.7194444444444444,2,934.0510107664513,2018-2019,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.37997928261756897,0.31015089154243469,0.30986976623535156
2,12,0,5,3,-13,0.24030232624561296,0.28665117740348484,1.1904761904761905,1.4285714285714286,25,1000.1905741248511,1,1,D,5,13,0,9,0,3,0.44492389751417155,0.788325745311773,30,1047.8798518423237,2019-2020,0.5333333333333333,0.6222222222222222,0.5777777777777777,0.6888888888888889,0.64710605144500732,0.15047076344490051,0.20242317020893097
13,10,0,24,1,31,0.6601972576159223,0.4272985317891269,1.7222222222222223,1.5277777777777777,62,1085.1865678829695,0,3,H,4,15,0,7,2,11,0.19552285854843765,0.23434576629219311,55,1082.493474549498,2019-2020,0.13333333333333333,0.2,0.5333333333333333,0.4888888888888889,0.32414153218269348,0.32631975412368774,0.34953871369361877
2,9,0,9,2,4,0.5783662176266963,0.8322256996538357,1.5,2.5625,24,1047.5965682009896,1,3,H,6,7,0,13,1,36,0.8201472810430817,0.9425037777323877,41,1229.854098276236,2018-2019,0.3111111111111111,0.7111111111111111,0.8666666666666667,1.0,0.73422783613204956,0.094671502709388733,0.1711006760597229
5,3,0,12,1,4,1.3279061948853617,1.2790619488536157,1.8888888888888888,0.5555555555555556,17,1044.5215759223117,3,0,A,5,16,1,11,2,-14,1.2309499007936509,1.309499007936508,5,937.4114001959075,2018-2019,0.5,0.08888888888888889,0.7777777777777778,0.36666666666666664,0.37904185056686401,0.30130022764205933,0.31965792179107666
6,9,0,13,3,17,0.4730081482175604,0.2442281500916898,1.9259259259259258,1.1111111111111112,52,1142.3707166978932,3,1,A,5,8,0,17,2,-4,0.6177098954157374,0.29587707164064775,30,980.3038093177587,2018-2019,1.0,0.7111111111111111,0.8666666666666667,0.26666666666666666,0.24323265254497528,0.57221066951751709,0.18455663323402405
10,14,0,14,1,-24,0.6568804935926378,0.45137085903803076,0.47619047619047616,0.8571428571428571,10,899.3941622597113,0,0,D,3,12,0,3,3,-22,0.15070366526945567,0.3154806359280243,18,934.2068397513764,2018-2019,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.8,0.35532569885253906,0.3621046245098114,0.28256967663764954
5,10,0,15,1,30,0.4803609245075381,0.37154958424121864,1.7741935483870968,1.3225806451612903,55,1088.8651910861129,1,2,H,3,13,0,7,1,-8,0.23115335865487008,0.3969074769558426,41,1027.7133059636194,2019-2020,0.4222222222222222,0.4444444444444444,0.5777777777777777,0.6888888888888889,0.166216179728508,0.61702239513397217,0.21676139533519745
9,10,0,14,0,16,0.43096883251807083,0.6529403056144085,1.7272727272727273,1.2727272727272727,57,1104.6678882172898,3,2,A,7,11,0,13,1,-12,0.3890682009985231,0.22831883394978308,42,1016.3372069702497,2019-2020,0.28888888888888886,0.4666666666666667,0.6666666666666666,0.3333333333333333,0.26477223634719849,0.52587246894836426,0.20935529470443726
6,18,0,11,2,-7,0.34033798056529907,0.23115335865487008,1.375,1.40625,44,1032.8039510838726,0,1,H,5,14,0,12,3,7,0.3726279575537408,0.29672259927344535,45,1073.36333824346,2019-2020,0.4444444444444444,0.4222222222222222,0.5555555555555556,0.7111111111111111,0.64181751012802124,0.15214596688747406,0.20603643357753754
2,13,0,13,3,-5,7.0,8.0,0.0,0.0,0,982.6057024851705,1,3,H,10,16,0,17,1,-3,9.666666666666666,12.0,0,1058.3403236228944,2018-2019,0.0,0.0,0.0,0.0,0.60930770635604858,0.16813802719116211,0.22255431115627289
4,7,0,9,0,-2,2.925,5.625,1.0,2.5,4,968.5867116029394,0,3,H,10,7,0,28,0,8,7.508333333333333,9.541666666666666,10,1189.457707763233,2018-2019,0.1111111111111111,0.7777777777777778,0.3333333333333333,1.0,0.8543628454208374,0.05961112305521965,0.086025960743427277
5,6,0,12,2,-7,0.47618389695452623,0.3807813208176824,1.32,2.48,33,1013.0064505925257,0,3,H,8,14,0,20,2,41,0.7868491399579521,0.4580776389067549,62,1211.9376850027763,2018-2019,0.0,0.7555555555555555,0.5333333333333333,0.9555555555555556,0.82064062356948853,0.065880440175533295,0.11347896605730057
3,10,0,11,3,-12,0.3396671171608262,0.548681983468091,1.0606060606060606,1.4242424242424243,35,975.6076171144481,1,0,A,2,6,0,12,2,2,0.3694939344651885,0.5627937718164086,47,1023.1286457448745,2018-2019,0.13333333333333333,0.3111111111111111,0.9333333333333333,0.4,0.37952885031700134,0.23113040626049042,0.38934072852134705
3,7,0,21,2,3,7.916666666666666,10.666666666666666,1.3333333333333333,1.0,4,1090.2736312354812,1,1,D,2,17,1,10,1,-2,4.541666666666666,8.166666666666666,3,989.1715531521835,2019-2020,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.2160400003194809,0.5453154444694519,0.23864449560642242
